iter	RMSE
0	3882217.602
1	3730420.638
2	3583878.012
3	3452277.868
4	3339354.373
5	3224736.706
6	3120534.722
7	3016036.801
8	2931849.955
9	2844549.152
10	2764030.129
11	2697980.987
12	2630089.244
13	2567462.715
14	2513217.43
15	2463138.418
16	2415940.786
17	2373074.658
18	2332163.114
19	2288854.324
20	2250149.866
21	2215524.826
22	2184273.579
23	2158055.197
24	2129831.712
25	2107757.623
26	2079989.363
27	2054904.381
28	2035620.289
29	2014014.668
30	1993422.614
31	1976091.119
32	1956617.291
33	1939297.124
34	1921842.537
35	1904411.33
36	1892539.864
37	1880210.904
38	1867295.259
39	1854229.894
40	1841003.315
41	1825721.527
42	1812879.733
43	1799486.891
44	1787517.323
45	1777717.518
46	1767938.626
47	1759309.891
48	1748188.677
49	1741562.67
50	1732654.384
51	1725648.139
52	1717318.277
53	1709038.225
54	1702115.308
55	1694175.906
56	1687016.337
57	1680447.417
58	1671322.438
59	1664412.286
60	1659212.136
61	1653761.947
62	1651013.088
63	1648423.355
64	1639162.418
65	1636471.147
66	1633988.553
67	1627365.542
68	1619079.018
69	1613472.235
70	1612552.657
71	1605678.114
72	1604799.907
73	1596988.905
74	1592325.208
75	1587045.777
76	1582903.015
77	1577955.659
78	1574266.081
79	1573463.881
80	1571973.616
81	1568515.777
82	1567798.528
83	1567104.001
84	1562624.003
85	1561206.614
86	1554818.531
87	1548053.314
88	1542798.013
89	1541116.6
90	1537460.646
91	1533189.339
92	1526353.186
93	1522796.142
94	1522187.608
95	1521632.242
96	1520573.824
97	1515947.508
98	1510997.372
99	1505409.004
100	1500269.621
101	1493226.902
102	1492685.601
103	1489238.344
104	1488734.668
105	1481886.033
106	1481341.686
107	1480852.409
108	1480399.147
109	1479928.84
110	1475935.571
111	1470301.027
112	1465983.901
113	1463832.726
114	1459982.922
115	1457564.985
116	1457119.298
117	1453508.949
118	1452714.276
119	1452304.442
120	1451898.926
121	1446942.589
122	1443379.853
123	1437624.301
124	1434575.22
125	1432033.483
126	1428761.127
127	1425686.536
128	1419876.207
129	1419510.326
130	1416306.003
131	1415234.403
132	1414893.286
133	1412558.552
134	1412309.778
135	1411985.67
136	1410871.34
137	1403709.763
138	1401348.989
139	1398371.005
140	1396392.915
141	1395379.003
142	1395080.852
143	1393486.636
144	1393204.28
145	1389190.407
146	1386339.291
147	1386070.021
148	1383075.442
149	1381245.668
150	1380984.671
151	1379181.994
152	1378932.846
153	1372710.061
154	1370680.509
155	1369298.747
156	1365384.379
157	1360093.862
158	1354718.068
159	1350930.183
160	1347491.568
161	1347248.584
162	1346604.863
163	1345993.304
164	1344339.093
165	1343759.541
166	1340621.158
167	1338315.479
168	1337058.73
169	1335717.98
170	1335502.469
171	1334361.277
172	1331875.997
173	1329209.732
174	1327199.975
175	1326755.213
176	1323542.359
177	1321701.147
178	1318174.195
179	1317557.249
180	1315349.588
181	1314129.547
182	1312018.503
183	1311616.791
184	1311058.901
185	1308127.105
186	1306673.591
187	1304996.958
188	1304675.976
189	1304509.703
190	1301039.31
191	1299557.425
192	1298571.435
193	1295583.426
194	1294228.487
195	1292829.76
196	1289846.066
197	1289237.696
198	1288266.189
199	1287351.483
200	1285145.16
201	1282964.525
202	1279121.092
203	1275949.303
204	1274336.15
205	1273761.127
206	1272483.261
207	1271678.04
208	1270255.954
209	1268354.305
210	1266776.369
211	1266523.327
212	1265433.738
213	1263562.843
214	1263047.392
215	1261840.896
216	1258597.217
217	1255651.958
218	1254951.806
219	1253618.711
220	1253182.118
221	1252010.822
222	1251336.29
223	1250531.422
224	1248620.309
225	1247165.878
226	1246393.583
227	1245656.869
228	1244747.29
229	1241294.443
230	1236976.21
231	1235861.895
232	1235418.264
233	1233256.034
234	1230516.82
235	1229912.043
236	1228414.622
237	1227477.02
238	1227144.739
239	1226379.989
240	1225469.17
241	1224759.317
242	1223399.158
243	1222269.745
244	1222059.764
245	1221419.586
246	1219853.46
247	1219542.563
248	1219297.125
249	1218336.296
250	1217491.173
251	1216759.311
252	1215761.179
253	1215224.552
254	1212151.05
255	1211070.843
256	1209822.638
257	1209217.288
258	1207030.021
259	1205864.42
260	1204921.361
261	1204098.348
262	1203363.293
263	1201950.522
264	1201418.416
265	1199671.428
266	1198434.075
267	1198263.068
268	1197325.659
269	1195497.826
270	1194735.641
271	1194019.026
272	1190952.409
273	1189714.089
274	1189253.569
275	1187874.551
276	1184788.679
277	1184245.123
278	1181002.976
279	1180148.012
280	1179639.564
281	1178060.611
282	1176931.832
283	1175726.435
284	1174696.233
285	1173193.702
286	1172497.223
287	1169772.058
288	1169315.463
289	1168907.488
290	1167995.867
291	1166417.382
292	1165922.444
293	1164151.04
294	1163633.046
295	1161697.114
296	1161242.623
297	1160162.498
298	1159196.453
299	1158583.025
300	1156868.855
301	1155574.876
302	1154071.362
303	1152246.678
304	1151518.272
305	1150494.424
306	1149621.928
307	1149193.131
308	1147560.05
309	1146850.917
310	1145766.132
311	1144907.138
312	1144623.411
313	1143299.646
314	1142596.198
315	1141535.898
316	1140490.742
317	1139985.414
318	1139586.001
319	1139121.316
320	1138000.579
321	1137499.219
322	1137209.016
323	1136831.872
324	1133595.838
325	1132038.176
326	1130475.725
327	1130126.868
328	1129217.855
329	1128276.167
330	1127629.554
331	1127269.207
332	1126589.861
333	1126102.188
334	1125496.688
335	1124545.013
336	1124041.543
337	1123339.525
338	1122706.802
339	1122328.476
340	1122080.091
341	1119184.358
342	1118143.941
343	1117342.786
344	1116797.937
345	1116370.099
346	1115962.358
347	1115391.321
348	1114178.985
349	1113951.514
350	1113493.557
351	1110505.302
352	1110011.219
353	1109132.343
354	1108810.319
355	1107484.119
356	1107184.589
357	1106525.87
358	1105364.514
359	1105034.946
360	1104595.8
361	1103837.134
362	1102491.067
363	1100973.001
364	1100633.548
365	1100326.402
366	1097981.676
367	1097703.546
368	1097091.508
369	1096770.959
370	1096525.099
371	1095544.802
372	1094900.063
373	1094618.814
374	1094151.778
375	1093660.661
376	1093354.713
377	1092660.081
378	1092354.413
379	1091352.728
380	1090856.915
381	1089705.402
382	1089042.467
383	1087493.748
384	1087184.452
385	1086967.512
386	1083805.343
387	1082965.153
388	1082778.264
389	1082467.66
390	1082132.074
391	1081432.431
392	1081071.101
393	1080251.793
394	1079823.056
395	1079276.619
396	1078599.526
397	1078220.169
398	1077444.113
399	1077088.013
400	1075035.777
401	1074794.689
402	1074492.78
403	1074294.597
404	1073864.021
405	1073131.049
406	1072936.209
407	1072412.025
408	1071656.519
409	1070191.493
410	1069717.36
411	1069429.331
412	1068797.121
413	1068345.389
414	1067844.799
415	1067392.99
416	1066907.502
417	1066634.156
418	1066310.071
419	1065946.299
420	1065621.287
421	1065209.85
422	1062923.734
423	1062782.799
424	1062605.981
425	1062234.252
426	1061566.167
427	1060573.193
428	1060222.114
429	1059837.382
430	1059528.695
431	1059346.747
432	1059025.776
433	1058851.876
434	1057651.843
435	1055895.717
436	1055726.07
437	1055415.376
438	1054845.211
439	1054311.52
440	1053913.716
441	1053746.568
442	1053436.563
443	1052769.887
444	1052093.295
445	1051304.205
446	1050630.353
447	1049995.544
448	1049083.229
449	1048420.592
450	1046191.486
451	1044671.69
452	1044337.795
453	1044185.587
454	1043771.439
455	1043452.402
456	1042867.432
457	1042647.752
458	1042305.03
459	1041767.251
460	1040141.118
461	1039841.802
462	1039655.796
463	1038297.638
464	1037768.67
465	1037415.957
466	1037137.39
467	1036727.052
468	1035719.143
469	1034616.592
470	1034151.833
471	1033865.452
472	1033511.938
473	1032862.919
474	1032546.052
475	1031318.59
476	1031105.3
477	1030926.816
478	1030445.506
479	1030182.53
480	1029886.171
481	1028841.36
482	1028574.452
483	1028179.28
484	1027085.66
485	1026590.479
486	1026070.559
487	1025447.407
488	1025044.104
489	1024719.768
490	1024121.534
491	1023961.769
492	1023713.487
493	1023365.619
494	1022993.947
495	1021575.339
496	1021180.006
497	1020884.72
498	1020598.149
499	1020116.09
500	1019958.666
501	1019767.809
502	1019005.316
503	1018797.155
504	1018561.737
505	1018250.211
506	1017767.674
507	1017457.717
508	1017167.162
509	1017038.74
510	1016387.71
511	1016100.434
512	1015849.974
513	1014289.533
514	1014096.812
515	1013546.533
516	1013161.069
517	1012806.339
518	1012537.548
519	1012220.05
520	1012085.131
521	1011527.667
522	1010988.451
523	1010859.928
524	1010485.804
525	1010264.52
526	1010048.168
527	1009562.929
528	1009247.969
529	1008225.294
530	1007716.807
531	1007453.764
532	1006910.626
533	1006735.989
534	1006507.85
535	1006038.165
536	1005816.813
537	1005672.148
538	1005271.659
539	1004988.42
540	1003979.631
541	1003801.503
542	1003591.243
543	1003309.429
544	1003095.891
545	1002577.715
546	1002235.521
547	1002024.724
548	1001368.271
549	1000851.122
550	1000670.731
551	999880.1308
552	999462.9028
553	998999.823
554	998740.0127
555	998399.1844
556	998097.3681
557	997739.544
558	995070.754
559	994727.4477
560	993882.1986
561	993261.7713
562	992973.2707
563	992194.2517
564	991961.8715
565	991890.2238
566	991670.2191
567	991211.9216
568	990773.2843
569	990549.8384
570	990235.0578
571	990051.7904
572	989190.0364
573	988752.1028
574	988507.2004
575	988161.605
576	987298.651
577	986427.1892
578	985918.0402
579	985625.426
580	985236.1268
581	984981.297
582	984702.8531
583	984274.8089
584	983753.268
585	983453.9241
586	983104.6313
587	982162.5567
588	981474.3912
589	981284.5616
590	980807.1363
591	980724.9112
592	980427.0923
593	977977.2931
594	977812.4819
595	977097.6932
596	976745.5788
597	975165.1868
598	974984.2822
599	974763.6275
600	973133.9371
601	973000.3857
602	972168.5219
603	971947.527
604	971659.2315
605	971288.9346
606	971186.1649
607	970524.4781
608	970210.8552
609	969845.8544
610	969532.6344
611	969405.3874
612	969303.4577
613	968863.5049
614	968458.8784
615	968333.9292
616	968173.0794
617	968036.4298
618	967754.1118
619	967587.2466
620	967495.8498
621	967247.819
622	966879.3575
623	966685.0088
624	966303.1734
625	966120.5068
626	965386.7744
627	964721.237
628	964545.0712
629	964189.2507
630	963938.5926
631	961782.7208
632	959797.2086
633	958998.9217
634	958866.2933
635	958679.2809
636	958250.1318
637	958048.4701
638	957793.7858
639	957606.9323
640	957472.7666
641	957311.6676
642	956096.0404
643	956016.8906
644	955598.8179
645	955267.2074
646	955180.302
647	955041.9047
648	954798.6137
649	954685.7589
650	954429.3597
651	954203.1622
652	954012.4257
653	953435.7727
654	953210.1326
655	952935.8658
656	952781.3392
657	952599.5881
658	952503.8192
659	951991.9305
660	951550.106
661	951051.6054
662	950602.3653
663	950435.0542
664	949826.5457
665	948510.9237
666	948417.6916
667	948047.0736
668	947037.4034
669	946440.2638
670	946232.2927
671	945947.8272
672	945861.0424
673	945385.568
674	945262.2001
675	943492.562
676	943024.5919
677	942444.9314
678	942155.3107
679	941909.117
680	940903.4323
681	940708.9161
682	940428.8759
683	940278.3614
684	940108.0966
685	939993.0822
686	939815.3993
687	939595.5976
688	939011.4682
689	938452.8307
690	937865.8148
691	937660.9891
692	937343.7498
693	937104.2378
694	937009.2138
695	936852.6166
696	936793.0845
697	936720.9076
698	936591.947
699	936237.2058
700	935846.8104
701	935661.7922
702	935445.226
703	935355.7943
704	935151.0696
705	934925.4917
706	934456.6049
707	932885.0481
708	932506.1135
709	932424.801
710	932279.3417
711	932152.2159
712	931966.3906
713	931876.151
714	931177.1293
715	930836.0288
716	930329.393
717	930091.9556
718	930010.1957
719	929845.3042
720	929515.6866
721	929194.5781
722	929100.246
723	929000.6064
724	928498.7323
725	928387.3257
726	927966.5826
727	927889.2519
728	927267.0729
729	926992.6382
730	926824.5455
731	926712.4897
732	925781.7964
733	925218.2006
734	925075.8498
735	924915.53
736	924694.9958
737	924285.6174
738	924010.6987
739	923940.1218
740	923832.8039
741	923341.02
742	923040.462
743	922508.5025
744	922283.1737
745	921959.2703
746	921854.3614
747	921536.5545
748	920935.594
749	920859.2184
750	920769.4791
751	920688.8351
752	920412.1341
753	920042.6359
754	919526.1813
755	919378.9035
756	919220.7588
757	918750.298
758	918537.5771
759	917497.6514
760	916710.4873
761	916486.3888
762	916298.7943
763	916227.1661
764	915319.8926
765	914724.7858
766	914276.5985
767	913855.6054
768	913555.8789
769	913084.5498
770	912830.0598
771	912475.4502
772	912387.8264
773	912313.7297
774	911996.2779
775	911824.8045
776	911638.9613
777	911425.2608
778	911023.6205
779	910970.6378
780	910692.395
781	910369.6042
782	910233.5183
783	910124.5095
784	909975.5988
785	909775.2455
786	909674.3522
787	909242.3539
788	908995.0319
789	908878.2569
790	907619.0192
791	907444.5571
792	907347.1995
793	907283.7655
794	907197.251
795	907093.7586
796	906537.4221
797	906405.3396
798	905963.4847
799	905834.7827
800	905525.6183
801	905411.7333
802	904890.6366
803	904786.6727
804	904663.4844
805	904231.0993
806	903347.5873
807	903293.9708
808	903222.2641
809	902822.2234
810	902749.3855
811	902681.6279
812	902638.2651
813	902438.2778
814	902267.4228
815	902132.0095
816	901953.3028
817	901824.6972
818	901661.6082
819	901542.9411
820	901442.3297
821	901391.5701
822	901226.9785
823	901158.5146
824	901116.5718
825	900611.99
826	900501.1632
827	900337.5277
828	900076.7615
829	899830.046
830	899474.8597
831	899373.6205
832	899255.4716
833	898139.7193
834	897919.4621
835	897798.6646
836	897530.2448
837	897469.4553
838	897080.8062
839	897014.5641
840	896949.8271
841	896850.0264
842	896547.6402
843	896421.8726
844	896349.5788
845	896019.9925
846	895336.6174
847	895057.5485
848	894921.7748
849	894874.5643
850	894783.5141
851	894412.6893
852	894365.9786
853	894149.9835
854	893342.3238
855	892767.3169
856	892597.3165
857	892536.7498
858	892307.637
859	892019.8692
860	891959.157
861	891853.5779
862	891787.6768
863	891272.1242
864	891116.3915
865	890789.774
866	890710.2906
867	890399.8765
868	890062.6601
869	889781.1875
870	889154.3702
